school,n,amin,asian,black,hisp,white,multi,f,m,n,free,n,oneparent,n,limeng
ADAMS,482,1.00%,5.60%,7.30%,13.10%,67.40%,5.60%,47.30%,52.70%,107,22.20%,117,24.30%,43,8.90%
ALKI,357,0.80%,8.70%,11.50%,7.00%,64.10%,7.80%,45.40%,54.60%,93,26.10%,80,22.40%,20,5.60%
APPATLINCOLN,524,0.00%,13.70%,0.20%,3.10%,73.70%,9.40%,43.50%,56.50%,3,0.60%,13,2.50%,0,0.00%
ARBORHEIGHTS,337,0.60%,9.50%,10.40%,11.00%,60.20%,8.30%,46.30%,53.70%,124,36.80%,89,26.40%,24,7.10%
BAGLEY,402,0.20%,7.70%,4.50%,8.50%,69.40%,9.70%,54.70%,45.30%,53,13.20%,49,12.20%,7,1.70%
BEACONHILL,461,0.40%,34.70%,9.50%,35.40%,13.40%,6.50%,47.50%,52.50%,292,63.30%,142,30.80%,209,45.30%
BFDAY,336,1.20%,11.60%,14.00%,13.10%,51.20%,8.90%,44.60%,55.40%,129,38.40%,101,30.10%,52,15.50%
BRYANT,579,0.00%,8.80%,0.50%,6.00%,77.70%,6.90%,54.10%,45.90%,37,6.40%,48,8.30%,11,1.90%
COE,452,1.30%,8.80%,3.30%,11.70%,70.60%,4.20%,51.80%,48.20%,69,15.30%,97,21.50%,43,9.50%
CONCORDINTL,409,0.50%,11.00%,12.20%,61.90%,11.20%,3.20%,46.00%,54.00%,321,78.50%,149,36.40%,171,41.80%
DEARBORNPARK,337,1.20%,44.50%,33.20%,11.60%,3.90%,5.60%,46.00%,54.00%,296,87.80%,142,42.10%,112,33.20%
DUNLAP,376,0.50%,27.70%,47.10%,21.50%,2.40%,0.80%,47.30%,52.70%,317,84.30%,160,42.60%,182,48.40%
EMERSON,287,0.30%,24.00%,48.40%,15.00%,4.20%,8.00%,48.80%,51.20%,234,81.50%,144,50.20%,79,27.50%
GATEWOOD,461,0.40%,5.90%,16.50%,14.10%,57.00%,6.10%,49.70%,50.30%,176,38.20%,135,29.30%,64,13.90%
GATZERT,378,1.10%,22.80%,48.10%,18.00%,4.20%,5.80%,48.10%,51.90%,337,89.20%,185,48.90%,156,41.30%
GRAHAMHILL,403,0.20%,22.60%,37.70%,12.70%,17.60%,9.20%,52.60%,47.40%,258,64.00%,136,33.70%,120,29.80%
GREENLAKE,259,1.20%,5.40%,3.50%,9.70%,72.60%,7.70%,48.60%,51.40%,48,18.50%,53,20.50%,4,1.50%
GREENWOOD,357,0.80%,6.20%,7.30%,15.70%,58.80%,11.20%,48.50%,51.50%,93,26.10%,77,21.60%,11,3.10%
HAWTHORNE,321,0.30%,18.70%,41.70%,20.20%,11.20%,7.80%,44.20%,55.80%,245,76.30%,165,51.40%,97,30.20%
HAY,546,0.20%,12.10%,5.30%,8.20%,63.70%,10.40%,49.80%,50.20%,84,15.40%,110,20.10%,5,0.90%
HIGHLANDPARK,427,3.30%,26.70%,16.20%,29.00%,16.90%,8.00%,46.40%,53.60%,334,78.20%,181,42.40%,116,27.20%
JSTANFORDINTL,451,0.70%,13.10%,1.30%,12.40%,59.90%,12.60%,49.20%,50.80%,29,6.40%,33,7.30%,23,5.10%
K-5STEM@BOREN(a),268,3.70%,10.80%,14.20%,11.90%,51.10%,8.20%,41.80%,58.20%,85,31.70%,78,29.10%,11,4.10%
KIMBALL,475,0.00%,40.80%,22.70%,10.50%,20.00%,5.90%,52.20%,47.80%,271,57.10%,93,19.60%,174,36.60%
LAFAYETTE,548,0.40%,8.40%,6.80%,8.00%,68.10%,8.40%,50.70%,49.30%,104,19.00%,101,18.40%,8,1.50%
LAURELHURST,410,0.20%,8.50%,0.70%,4.10%,77.60%,8.80%,47.30%,52.70%,38,9.30%,28,6.80%,5,1.20%
LAWTON,433,0.70%,7.60%,1.60%,8.30%,70.40%,11.30%,52.20%,47.80%,60,13.90%,82,18.90%,2,0.50%
LESCHI,366,1.10%,5.20%,47.30%,9.80%,25.10%,11.50%,51.40%,48.60%,211,57.70%,176,48.10%,62,16.90%
LOWELL,182,0.50%,12.10%,32.40%,11.50%,33.50%,9.90%,49.50%,50.50%,92,50.50%,74,40.70%,18,9.90%
LOYALHEIGHTS,426,0.00%,2.30%,0.90%,3.80%,83.60%,9.40%,51.90%,48.10%,21,4.90%,53,12.40%,1,0.20%
MAPLE,473,0.00%,48.60%,13.50%,19.70%,11.00%,7.20%,53.90%,46.10%,299,63.20%,130,27.50%,164,34.70%
MARTINLKINGJR.,362,0.00%,36.50%,45.00%,11.30%,2.50%,4.70%,48.60%,51.40%,308,85.10%,155,42.80%,144,39.80%
MCDONALD,277,0.00%,6.90%,1.80%,12.30%,68.60%,10.50%,46.60%,53.40%,30,10.80%,44,15.90%,7,2.50%
MCGILVRA,301,0.00%,8.00%,13.00%,5.00%,62.50%,11.60%,45.20%,54.80%,44,14.60%,74,24.60%,4,1.30%
MONTLAKE,238,0.40%,14.30%,5.00%,4.20%,69.70%,6.30%,47.90%,52.10%,17,7.10%,30,12.60%,0,0.00%
MUIR,459,0.70%,19.80%,41.60%,10.00%,18.10%,9.80%,48.80%,51.20%,301,65.60%,166,36.20%,124,27.00%
NORTHBEACH,314,0.00%,2.90%,1.00%,7.60%,77.10%,11.50%,47.80%,52.20%,34,10.80%,29,9.20%,3,1.00%
NORTHGATE,248,0.40%,13.30%,23.80%,41.90%,11.70%,8.90%,47.60%,52.40%,216,87.10%,118,47.60%,102,41.10%
OLYMPICHILLS,271,1.10%,11.10%,26.20%,25.50%,24.70%,11.40%,47.60%,52.40%,197,72.70%,113,41.70%,77,28.40%
OLYMPICVIEW,481,0.80%,13.30%,11.90%,10.40%,55.10%,8.50%,46.20%,53.80%,151,31.40%,102,21.20%,56,11.60%
QUEENANNE,279,0.00%,7.20%,3.20%,9.00%,71.30%,9.30%,44.40%,55.60%,22,7.90%,33,11.80%,4,1.40%
RAINIERVIEW,181,0.60%,26.00%,40.30%,14.40%,6.60%,12.20%,55.20%,44.80%,121,66.90%,77,42.50%,45,24.90%
ROGERS,307,0.30%,10.10%,9.80%,14.70%,52.10%,13.00%,51.10%,48.90%,119,38.80%,99,32.20%,12,3.90%
